东方丽人美甲(东直门店), 管庄柏林爱乐小区3期五号楼5单元(近适佰家超市), 生活服务;美容美发店;美容美发店, 116.418631,39.939431, 116.424863,39.940825, 116.431315,39.946912
拜欧泰农业科技咨询公司, 东兴隆街58号mix北京汇商界2座5层515, 公司企业;公司企业;公司企业, 116.406872,39.895645, 116.413110,39.897046, 116.419520,39.903317
北京拜尔昊城口腔医院, 祈年大街18号院4号楼, 医疗保健服务;专科医院;口腔医院, 116.406281,39.893834, 116.412520,39.895235, 116.418930,39.901513
拜耳血糖仪客户服务站, 安定门内大街96, 生活服务;生活服务场所;生活服务场所, 116.402608,39.945092, 116.408855,39.946497, 116.415236,39.952805
拜尔口腔医疗集团总部, 祈年大街18号院-4, 公司企业;公司;公司, 116.406273,39.893818, 116.412512,39.895219, 116.418922,39.901498
北京卡拜克停车管理公司, 绿景馨园东区12-10号东玖大厦a座6层608, 公司企业;公司企业;公司企业, 116.434141,39.889348, 116.440340,39.890720, 116.446911,39.896543
放牛斑, 王府井大街172号丹耀大厦1楼, 餐饮服务;冷饮店;冷饮店, 116.405378,39.911131, 116.411619,39.912533, 116.418009,39.918816
丽江庭院之柔软时光(鼓楼店), 旧鼓楼大街国旺胡同18号近宝产胡同、张旺胡同北、小石桥胡同南, 餐饮服务;中餐厅;火锅店, 116.389434,39.943787, 116.395682,39.945192, 116.402052,39.951528
满记甜品(国瑞店), 崇文门外大街18号国瑞购物中心B1-27, 餐饮服务;甜品店;甜品店, 116.413481,39.896577, 116.419714,39.897974, 116.426155,39.904154
丽江庭院之午后阳光(朝内店), 朝内南小街内务部街1号, 餐饮服务;中餐厅;火锅店, 116.419952,39.918285, 116.426180,39.919677, 116.432640,39.925741
束河人家, 北兵马司胡同17, 餐饮服务;中餐厅;云贵菜, 116.398596,39.935059, 116.404843,39.936464, 116.411209,39.942796
丽江印象斑鱼府, 广渠门内大街80号通正大厦西侧1-2层, 餐饮服务;中餐厅;火锅店, 116.422317,39.891363, 116.428538,39.892751, 116.435036,39.898780
丽江庭院(安定门店), 安定门内大街柴棒胡同3号(近安定门内大街), 餐饮服务;中餐厅;云贵菜, 116.401420,39.945128, 116.407668,39.946533, 116.414045,39.952850
晓英斗鱼之翩翩起舞(龙潭店), 龙潭路1号, 餐饮服务;中餐厅;中餐厅, 116.429989,39.880150, 116.436195,39.881528, 116.442749,39.887422
百姿美容取斑, 东单三条8-2号5层, 生活服务;美容美发店;美容美发店, 116.410414,39.908941, 116.416651,39.910341, 116.423064,39.916562
斑斑岛照相馆, 广渠家园4号楼1508名敦道大厦, 生活服务;生活服务场所;生活服务场所, 116.441675,39.891872, 116.447856,39.893230, 116.454459,39.898951
天丝专业祛斑祛痘连锁机构, 珠市口东大街世纪天鼎市场南精品17号, 生活服务;美容美发店;美容美发店, 116.400659,39.891227, 116.406900,39.892630, 116.413295,39.898959
丽影靓容纤体祛斑会馆(东直门店), 东直门外大街48号东方银座C座10H室, 生活服务;美容美发店;美容美发店, 116.429697,39.938979, 116.435911,39.940360, 116.442431,39.946248
新雨池青春痘痘疤色斑修复中心(东直门店), 东直门桥东南角东方银座A座18B号, 生活服务;生活服务场所;生活服务场所, 116.428978,39.938876, 116.435193,39.940258, 116.441709,39.946159
马桂玉专业柔绣、减肥、去斑终点站(东直门店), 东直门外大街东方银座B座8G室, 生活服务;美容美发店;美容美发店, 116.428994,39.938607, 116.435209,39.939989, 116.441725,39.945889
斑班岛摄影, 广渠家园4号楼1508室, 生活服务;生活服务场所;生活服务场所, 116.443172,39.890866, 116.449349,39.892221, 116.455958,39.897927
北京外阴白斑医院(东城中医院), 北京市东城区和平里兴华路11号, 医疗保健服务;医疗保健服务场所;医疗保健服务场所, 116.407521,39.961707, 116.413767,39.963110, 116.420180,39.969373
真珍斑马技术贸易(上海)有限公司北京联络处, 北三环东路36号环球贸易中心A座1002, 公司企业;公司;商业贸易, 116.403951,39.966814, 116.410200,39.968219, 116.416605,39.974522
班98, 工体西路3号底商2号(近工体西门), 体育休闲服务;娱乐场所;酒吧, 116.437150,39.928144, 116.443347,39.929512, 116.449905,39.935281
班禅楼, 雍和宫大街附近, 风景名胜;风景名胜;风景名胜, 116.411289,39.947060, 116.417530,39.948461, 116.423946,39.954669
班尼路(百货大楼店), 王府井大街255号王府井百货4楼女装休闲组(近王府井步行街), 购物服务;服装鞋帽皮具店;品牌服装店, 116.404079,39.912040, 116.410321,39.913443, 116.416706,39.919738
鲁班胡同, 东城区, 地名地址信息;交通地名;道路名, 116.404013,39.889982, 116.410252,39.891384, 116.416657,39.897687
北京天坛医院总值班室, 天坛西里6号, 医疗保健服务;综合医院;三级甲等医院, 116.396473,39.875959, 116.402713,39.877362, 116.409112,39.883714
班禅楼, 安定门东大街附近, 风景名胜;风景名胜相关;旅游景点, 116.411344,39.947080, 116.417585,39.948481, 116.424002,39.954689
小猪班纳(百货大楼), 王府井大街138号北京apm2楼(近地铁5号线灯市口站、1号线王府井站), 购物服务;购物相关场所;购物相关场所, 116.404075,39.912037, 116.410317,39.913440, 116.416702,39.919735
班尼路(前门店), 前门大街73号, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.391782,39.893405, 116.398024,39.894808, 116.404410,39.901157
班尼路(王府井三店), 王府井大街138号北京APM内(近长安街), 购物服务;服装鞋帽皮具店;品牌服装店, 116.405147,39.911985, 116.411389,39.913388, 116.417778,39.919673
中国西班牙商会, 新中西里13号巨石大厦西区304B, 政府机构及社会团体;社会团体;行业协会, 116.433122,39.932714, 116.439328,39.934089, 116.445866,39.939919
炼津馆杖道班, 体育馆路甲2号国家体育总局训练局健身中心216, 体育休闲服务;运动场馆;运动场所, 116.421959,39.881899, 116.428179,39.883287, 116.434682,39.889325
ymca北京少儿托管班, 培新街附近, 科教文化服务;学校;幼儿园, 116.424463,39.890461, 116.430680,39.891847, 116.437192,39.897837
香港大班冰皮月饼, 崇文门外大街3号, 餐饮服务;糕饼店;糕饼店, 116.411915,39.896717, 116.418149,39.898115, 116.424581,39.904319
炼津馆居合道班, 体育馆路甲2号国家体育总局训练局健身中心216, 体育休闲服务;运动场馆;运动场所, 116.421958,39.881900, 116.428178,39.883288, 116.434681,39.889326
东华门幼儿园小班部, 大鹁鸽胡同14号, 科教文化服务;学校;幼儿园, 116.406175,39.918865, 116.412417,39.920267, 116.418805,39.926539
好美体健身会街舞(HIP-HOP)培训班, 东华门大街62号东华门文体中心B1层, 科教文化服务;培训机构;培训机构, 116.397508,39.913607, 116.403753,39.915011, 116.410122,39.921349
北京班纳发迅时装有限公司, 左安门内大街8号伟图大厦1层, 公司企业;公司;矿产公司, 116.428292,39.881371, 116.434501,39.882751, 116.441044,39.888675
班妮意大利餐厅(北京金隅喜来登酒店), 北三环东路36号金隅喜来登酒店2楼, 餐饮服务;外国餐厅;意式菜品餐厅, 116.402501,39.965823, 116.408751,39.967229, 116.415150,39.973545
西班牙大使馆教育处, 东直门外大街46号天恒大厦a座20层2007b, 政府机构及社会团体;外国机构;外国使领馆, 116.430828,39.938938, 116.437040,39.940317, 116.443567,39.946186
西班牙阿莱圣德家居设计, 建国门内大街8号中粮广场购物中心2层C210, 生活服务;生活服务场所;生活服务场所, 116.423630,39.905727, 116.429850,39.907114, 116.436342,39.913114
汉翔轩书法速成班(崇文门分校), 东城区崇文门外大街5号新世界太华公寓1座601室, 科教文化服务;培训机构;培训机构, 116.411299,39.895127, 116.417534,39.896526, 116.423965,39.902739
abcCollege西班牙语, 东方银座B座10层H室, 科教文化服务;培训机构;培训机构, 116.429516,39.938914, 116.435730,39.940295, 116.442249,39.946186
圣戈班依索维尔中国, 北三环东路36号环球贸易中心B座1701, 公司企业;公司;公司, 116.404387,39.966825, 116.410636,39.968230, 116.417042,39.974529
西晓市街与鲁班胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.404012,39.889618, 116.410251,39.891020, 116.416657,39.897323
东晓市街与鲁班胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.404012,39.889618, 116.410251,39.891020, 116.416657,39.897323
金鱼池街与鲁班胡同交叉口, 东城区, 地名地址信息;交通地名;路口名, 116.404012,39.889618, 116.410251,39.891020, 116.416657,39.897323
Cedar's 班吧, 工体西路3号底商2号(近工体西门)(美丽汇正对面), 体育休闲服务;娱乐场所;酒吧, 116.437257,39.928232, 116.443453,39.929600, 116.450012,39.935367
班卡奴(国瑞店), 崇文门外大街18号国瑞购物中心, 购物服务;购物相关场所;购物相关场所, 116.412899,39.897053, 116.419133,39.898450, 116.425570,39.904639
西班牙比驰自行车(北京旗舰店), 安德路乙61号院, 购物服务;专卖店;自行车专卖店, 116.388759,39.951314, 116.395008,39.952719, 116.401385,39.959054
西班牙西汉传播有限公司, 新中西里13号巨石大厦东区6G, 科教文化服务;传媒机构;传媒机构, 116.433122,39.932714, 116.439328,39.934089, 116.445866,39.939919
西班牙MS Technology, 新中西里13号巨石大厦西区304A, 公司企业;公司;公司, 116.433122,39.932714, 116.439328,39.934089, 116.445866,39.939919
耀武搏毅堂东华门健美操培训班, 东华门大街62号东华门文体中心, 科教文化服务;培训机构;培训机构, 116.397514,39.913614, 116.403759,39.915018, 116.410128,39.921356
西班牙菲莎制衣股份公司北京代表处, 灯市口大街33号国中商业大厦520, 公司企业;公司企业;公司企业, 116.407880,39.917432, 116.414120,39.918834, 116.420516,39.925087
古日班龙(恒基商城), 建国门内大街18号B2层, 购物服务;服装鞋帽皮具店;服装鞋帽皮具店, 116.421358,39.906048, 116.427582,39.907438, 116.434060,39.913480
香港大班月饼, 百货大楼东城区王府井大街255号, 餐饮服务;餐饮相关场所;餐饮相关, 116.403998,39.911907, 116.410240,39.913310, 116.416625,39.919606
Agua西班牙餐厅, 前门东大街23号, 餐饮服务;餐饮相关场所;餐饮相关, 116.394467,39.899036, 116.400710,39.900440, 116.407090,39.906789
西班牙萨瓦德尔银行股份有限公司北京代表处, 东直门外大街46号天恒大厦8层805室, 公司企业;公司企业;公司企业, 116.430458,39.939008, 116.436670,39.940387, 116.443195,39.946262
北京相声第二班, 东四十条青蓝大厦三层青蓝剧场, 科教文化服务;科教文化场所;科教文化场所, 116.423726,39.932012, 116.429950,39.933400, 116.436431,39.939395
西班牙对外银行有限公司北京代表处, 建国门内大街7号光华长安大厦6层618, 公司企业;知名企业;知名企业, 116.424097,39.908182, 116.430317,39.909569, 116.436810,39.915560
北京东方神州书画院下设有专业书法国画篆刻培训班, 天安门东侧劳动人民文化宫内北京东方神州书画院, 科教文化服务;培训机构;培训机构, 116.393667,39.909694, 116.399911,39.911098, 116.406281,39.917444
西班牙斗牛部落(新东安广场), 王府井大街138号B1层TB002, 购物服务;服装鞋帽皮具店;品牌鞋店, 116.405483,39.912956, 116.411725,39.914358, 116.418114,39.920639
西班牙巴塞罗那储蓄银行北京代表处, 建国门内大街7光华长安大厦第1座6层611, 金融保险服务;银行;银行, 116.423920,39.908042, 116.430140,39.909429, 116.436632,39.915423
奥佳游泳培训游泳馆学游泳游泳班(天坛游泳馆), 天坛东路13号天坛体育中心内, 体育休闲服务;运动场馆;游泳馆, 116.413930,39.879090, 116.420160,39.880486, 116.426617,39.886664
华夏搬家, 新中街9楼5号, 生活服务;搬家公司;搬家公司, 116.435000,39.932676, 116.441202,39.934048, 116.447750,39.939848
蓝海搬家, 东直门外大街31号楼, 生活服务;搬家公司;搬家公司, 116.436663,39.940649, 116.442862,39.942018, 116.449421,39.947795
新雅搬家, 和平里一区4号楼, 生活服务;搬家公司;搬家公司, 116.413079,39.957541, 116.419320,39.958941, 116.425755,39.965126
北京兄弟搬家公司, 幸福北里24号楼, 生活服务;搬家公司;搬家公司, 116.428995,39.887414, 116.435204,39.888793, 116.441747,39.894703
佳丽搬家, 朝内大街50号, 生活服务;搬家公司;搬家公司, 116.424752,39.923628, 116.430973,39.925015, 116.437461,39.930991
北京兄弟搬家公司(东直门店), 天恒大厦B座203, 生活服务;搬家公司;搬家公司, 116.430584,39.938821, 116.436796,39.940200, 116.443321,39.946073
和平里搬家公司, 和平里二区1号楼, 生活服务;搬家公司;搬家公司, 116.414850,39.957024, 116.421089,39.958422, 116.427534,39.964579
前门搬家公司, 丽苑公寓, 生活服务;搬家公司;搬家公司, 116.408394,39.913761, 116.414634,39.915162, 116.421034,39.921409
北京彩虹搬家公司(东直门店), 东直门北中街1号楼, 生活服务;搬家公司;搬家公司, 116.421952,39.943195, 116.428180,39.944586, 116.434655,39.950615
利康搬家公司, 交林夹道甲2号, 生活服务;搬家公司;搬家公司, 116.421513,39.956622, 116.427743,39.958014, 116.434227,39.964055
北京迁喜搬家有限公司, 长辛店36号, 生活服务;搬家公司;搬家公司, 116.412284,39.904668, 116.418519,39.906066, 116.424945,39.912262
交友搬家公司, 北河沿大街81-6, 生活服务;搬家公司;搬家公司, 116.399599,39.925804, 116.405845,39.927209, 116.412212,39.933536
陶然亭搬家(天坛店), 天坛东里2号斋宫附近, 生活服务;生活服务场所;生活服务场所, 116.400184,39.878214, 116.406423,39.879616, 116.412827,39.885951
北京好运迁翔搬家公司, 青年会大楼, 生活服务;搬家公司;搬家公司, 116.411231,39.913275, 116.417468,39.914674, 116.423882,39.920883
长熙搬家公司, 李村南里临时35-1, 生活服务;搬家公司;搬家公司, 116.406422,39.864058, 116.412657,39.865458, 116.419081,39.871740
北京兄弟搬家公司(天坛店), 天坛西里北区11号楼502室, 生活服务;搬家公司;搬家公司, 116.394910,39.877115, 116.401150,39.878518, 116.407548,39.884872
北京兄弟搬家公司(安定门店), 青年湖东里11号楼, 生活服务;搬家公司;搬家公司, 116.401205,39.954122, 116.407454,39.955527, 116.413839,39.961848
北京兄弟友谊搬家公司, 民安小区1号楼, 生活服务;搬家公司;搬家公司, 116.423237,39.941114, 116.429463,39.942503, 116.435945,39.948508
利康祥和搬家公司(东直门店), 东直门, 生活服务;搬家公司;搬家公司, 116.433971,39.936535, 116.440176,39.937909, 116.446720,39.943726
四通搬家公司(东四店), 东四十条33号, 生活服务;生活服务场所;生活服务场所, 116.430355,39.932210, 116.436567,39.933589, 116.443089,39.939465
北京兄弟连搬家公司(崇文区店), 光明楼27号楼, 生活服务;生活服务场所;生活服务场所, 116.431504,39.883613, 116.437707,39.884988, 116.444267,39.890855
中起物料搬运工程有限公司, 雍和宫大街52, 生活服务;物流速递;物流速递, 116.411130,39.942475, 116.417371,39.943876, 116.423783,39.950086
北京兄弟搬家有限公司, 土儿胡同3号楼, 生活服务;搬家公司;搬家公司, 116.408365,39.938137, 116.414608,39.939539, 116.421005,39.945785
利康和谐搬家公司, 东花市北里西区14号楼3单元103, 生活服务;生活服务场所;生活服务场所, 116.423021,39.898599, 116.429242,39.899987, 116.435737,39.906001
北京兄弟大方搬家, 和平里东街强佑大厦16层, 生活服务;生活服务场所;生活服务场所, 116.419367,39.951588, 116.425600,39.952982, 116.432066,39.959059
北京兄弟搬家公司(和平里二区店), 和平里二区3号楼, 生活服务;搬家公司;搬家公司, 116.415436,39.956905, 116.421674,39.958303, 116.428122,39.964450
北京兄弟好运搬家(菊儿胡同店), 菊儿胡同85号楼, 生活服务;搬家公司;搬家公司, 116.398890,39.938228, 116.405137,39.939633, 116.411505,39.945964
利康谐和搬家(东花市店), 东花市北里东区3号楼715室, 生活服务;生活服务场所;生活服务场所, 116.431083,39.897550, 116.437289,39.898927, 116.443835,39.904797
北京兄弟和运搬家公司(东城区店), 新裕商务大厦1层17号, 生活服务;搬家公司;搬家公司, 116.415592,39.891389, 116.421822,39.892784, 116.428279,39.898931
利康谐和搬家(外大街店), 安定门外大街7号院, 生活服务;生活服务场所;生活服务场所, 116.400475,39.959710, 116.406725,39.961116, 116.413114,39.967444
兄弟信达(北京)搬家有限公司(永定门店), 天坛西里南区8号楼, 生活服务;生活服务场所;生活服务场所, 116.395092,39.874399, 116.401332,39.875801, 116.407731,39.882156
北京四海纵横搬家有限公司(东直门服务点), 东直门南大街12号, 生活服务;搬家公司;搬家公司, 116.429247,39.934311, 116.435461,39.935692, 116.441977,39.941587
北京经纬搬家公司, 雍和宫大街大方胡同78号, 生活服务;生活服务场所;生活服务场所, 116.409212,39.942600, 116.415455,39.944002, 116.421858,39.950238
北京兄弟快运搬家公司(外大街店), 安定门外大街190号, 生活服务;搬家公司;搬家公司, 116.402385,39.952835, 116.408633,39.954240, 116.415020,39.960552
北京老兵搬家公司(总部), 东城区香河园街3号(东直门万国城MOMA附近), 生活服务;生活服务场所;生活服务场所, 116.431958,39.945049, 116.438168,39.946426, 116.444705,39.952277
北京家和鼎盛搬家有限公司(东四店), 东四西大街40号楼, 生活服务;搬家公司;搬家公司, 116.409367,39.922563, 116.415607,39.923964, 116.422007,39.930197
港丽餐厅(新东安广场), 王府井大街138号F5层507, 餐饮服务;快餐厅;茶餐厅, 116.406257,39.913864, 116.412498,39.915266, 116.418889,39.921538
利康和谐(北京)搬家有限公司(沙子口路店), 沙子口路78号写字楼a座, 生活服务;生活服务场所;生活服务场所, 116.402290,39.857981, 116.408526,39.859382, 116.414934,39.865703
北京家和鼎盛搬家有限公司(朝阳门店), 朝阳门内大街75号院, 生活服务;搬家公司;搬家公司, 116.424024,39.924246, 116.430246,39.925634, 116.436729,39.931623
北京家和鼎盛搬家有限公司(和平里店), 和平里一区4号楼403, 生活服务;搬家公司;搬家公司, 116.413287,39.957532, 116.419528,39.958932, 116.425964,39.965114
利康谐和搬家(工人体育馆店), 工人体育馆北路55号, 生活服务;生活服务场所;生活服务场所, 116.436071,39.932165, 116.442271,39.933535, 116.448824,39.939319
北京家和鼎盛搬家有限公司(东城区店), 安贞苑50号院1号楼, 生活服务;搬家公司;搬家公司, 116.402785,39.968701, 116.409035,39.970107, 116.415438,39.976421
北京四海纵横搬家有限公司(东单服务点), 华诚大厦1层, 生活服务;搬家公司;搬家公司, 116.410378,39.906069, 116.416615,39.907469, 116.423031,39.913692
利康和谐(北京)搬家公司, 东扬威街3号楼地下室, 生活服务;生活服务场所;生活服务场所, 116.425627,39.942448, 116.431849,39.943834, 116.438346,39.949795
北京四海纵横搬家有限公司(东四服务点), 东四礼士胡同41号, 生活服务;搬家公司;搬家公司, 116.418098,39.920900, 116.424329,39.922294, 116.430777,39.928390
北京四海纵横搬家有限公司(珠市口服务点), 珠市口东大街甲16号世纪天鼎12道61号, 生活服务;搬家公司;搬家公司, 116.395975,39.889761, 116.402217,39.891164, 116.408607,39.897514
华人兄弟搬家物流公司(北京站店), 北京站街9号, 生活服务;生活服务场所;生活服务场所, 116.420325,39.905108, 116.426550,39.906499, 116.433022,39.912560
北京四海纵横搬家有限公司(海运仓服务点), 东直门南小街海运仓南里, 生活服务;搬家公司;搬家公司, 116.421943,39.933984, 116.428170,39.935375, 116.434640,39.941402
北京四海纵横搬家有限公司(蓟门桥服务点), 和平里东街20号院4号楼, 生活服务;搬家公司;搬家公司, 116.420684,39.953587, 116.426915,39.954980, 116.433391,39.961034
北京彩虹搬家公司(广渠门店), 广渠门内大街80号通正国际大厦3层, 生活服务;生活服务场所;生活服务场所, 116.422665,39.891409, 116.428885,39.892797, 116.435385,39.898820
北京彩虹搬家公司(东花市店), 东花市大街二号院5号楼, 生活服务;生活服务场所;生活服务场所, 116.431939,39.895878, 116.438143,39.897253, 116.444695,39.903109
北京大信搬家公司(后永康店), 后永康胡同23号楼, 生活服务;生活服务场所;生活服务场所, 116.416930,39.943692, 116.423165,39.945088, 116.429610,39.951206
利康搬家公司(东城区安德路店), 安德路47号院甲3号楼, 生活服务;搬家公司;搬家公司, 116.395691,39.950352, 116.401940,39.951758, 116.408313,39.958103
北京奥康达搬家公司(景山店), 沙滩后街55号院3号楼, 生活服务;生活服务场所;生活服务场所, 116.395098,39.925273, 116.401344,39.926678, 116.407706,39.933020
北京兄弟快运搬家公司(小菊胡同), 东四十四条小菊胡同21号, 公司企业;公司企业;公司企业, 116.418377,39.936806, 116.424609,39.938200, 116.431058,39.944291
台湾小吃街, 北晓顺胡同与鲜鱼口街交汇处, 餐饮服务;中餐厅;台湾菜, 116.393683,39.893734, 116.399925,39.895137, 116.406310,39.901488
王胖子驴肉火烧, 东四北大街92号, 餐饮服务;中餐厅;特色/地方风味餐厅, 116.411079,39.934938, 116.417319,39.936338, 116.423727,39.942547
板长寿司, 王府井大街138号北京APMB1层109号商铺, 餐饮服务;外国餐厅;日本料理, 116.405347,39.912324, 116.411589,39.913726, 116.417978,39.920009
独道牛板筋火锅(地安门店), 地安门内大街黄化门街41号(近景山), 餐饮服务;中餐厅;火锅店, 116.392046,39.929408, 116.398293,39.930813, 116.404655,39.937154
大个铁板, 天坛南里西区14号北京十一中旁巷子内, 餐饮服务;中餐厅;特色/地方风味餐厅, 116.398291,39.872998, 116.404530,39.874400, 116.410932,39.880746
雅玛花式铁板烧(东直门店), 东直门南大街6号中纺大厦2层, 餐饮服务;中餐厅;特色/地方风味餐厅, 116.428670,39.936688, 116.434886,39.938070, 116.441399,39.943976
金板寸, 地安门东大街88号, 生活服务;美容美发店;美容美发店, 116.390574,39.931741, 116.396821,39.933145, 116.403184,39.939483
独道牛板筋火锅, 大取灯胡同2号, 餐饮服务;中餐厅;火锅店, 116.401575,39.928469, 116.407820,39.929873, 116.414191,39.936187
板尚, 东直门内大街1-10, 购物服务;体育用品店;体育用品店, 116.424991,39.940127, 116.431214,39.941514, 116.437706,39.947486
驴肉火烧, 史家胡同49号西口内(近史家小学), 餐饮服务;中餐厅;中餐厅, 116.413605,39.917376, 116.419840,39.918774, 116.426264,39.924946
板厂小学, 板厂南里7, 科教文化服务;学校;小学, 116.434795,39.883693, 116.440991,39.885063, 116.447569,39.890877
板桥胡同, 东城区, 地名地址信息;交通地名;道路名, 116.412348,39.937516, 116.418587,39.938916, 116.425003,39.945107
麦当劳(新世界餐厅), 崇文门外大街3-9, 餐饮服务;快餐厅;麦当劳, 116.412100,39.896449, 116.418334,39.897847, 116.424767,39.904048
麦当劳(新王府井餐厅), 东华门, 餐饮服务;快餐厅;麦当劳, 116.405461,39.909326, 116.411702,39.910728, 116.418094,39.917010
船板胡同, 东城区, 地名地址信息;交通地名;道路名, 116.413788,39.902274, 116.420021,39.903671, 116.426458,39.909844
板厂南里, 夕照寺街9号, 商务住宅;住宅区;住宅小区, 116.436148,39.883793, 116.442341,39.885161, 116.448926,39.890955
板长寿司, 东直门外大街48号东方银座B1层B1-11C, 餐饮服务;外国餐厅;日本料理, 116.429403,39.938803, 116.435617,39.940184, 116.442135,39.946077
老孙牛板筋火锅, 雍和宫大街185号, 餐饮服务;中餐厅;火锅店, 116.410433,39.941024, 116.416674,39.942425, 116.423082,39.948644
板桥南巷, 东城区, 地名地址信息;交通地名;道路名, 116.411629,39.937164, 116.417869,39.938564, 116.424281,39.944765
板厂胡同, 东城区, 地名地址信息;交通地名;道路名, 116.399832,39.933549, 116.406079,39.934954, 116.412447,39.941279
板厂新里, 夕照寺街, 商务住宅;住宅区;住宅小区, 116.437405,39.884942, 116.443596,39.886308, 116.450187,39.892084
京板寸, 东华门大街1号, 生活服务;美容美发店;美容美发店, 116.400140,39.913996, 116.406384,39.915400, 116.412757,39.921725
东板桥街, 东城区, 地名地址信息;交通地名;道路名, 116.395251,39.930548, 116.401498,39.931953, 116.407860,39.938295
板厂新里(东门), 夕照寺街9附近, 商务住宅;住宅区;住宅小区, 116.437681,39.885091, 116.443871,39.886456, 116.450463,39.892228
渔都铁板烧, 东交民巷甲23号东交民巷饭店1层, 餐饮服务;外国餐厅;日本料理, 116.401489,39.901333, 116.407731,39.902736, 116.414118,39.909056
南板桥胡同, 东城区, 地名地址信息;交通地名;道路名, 116.413998,39.930501, 116.420235,39.931899, 116.426658,39.938063
板厂南里(南一门), 光明路附近, 商务住宅;住宅区;住宅小区, 116.435371,39.883368, 116.441566,39.884737, 116.448148,39.890543
板厂南里(南二门), 光明路附近, 商务住宅;住宅区;住宅小区, 116.436597,39.883431, 116.442789,39.884798, 116.449377,39.890586
民族出版社, 和平里北街14号国家民委新闻出版大楼, 科教文化服务;传媒机构;出版社, 116.419554,39.957520, 116.425787,39.958914, 116.432260,39.964990
人民出版社, 朝阳门内大街166, 科教文化服务;传媒机构;出版社, 116.419261,39.922666, 116.425490,39.924059, 116.431944,39.930135
华夏出版社, 东直门外香河园北里4号, 科教文化服务;传媒机构;出版社, 116.429326,39.950668, 116.435542,39.952050, 116.442069,39.957947
语文出版社, 朝阳门内南小街51, 科教文化服务;传媒机构;出版社, 116.419433,39.921606, 116.425662,39.922999, 116.432117,39.929072
东方出版社, 朝阳门内大街166, 科教文化服务;传媒机构;出版社, 116.419268,39.922663, 116.425497,39.924056, 116.431951,39.930131
中国版本图书馆, 先晓胡同10, 科教文化服务;图书馆;图书馆, 116.426499,39.912586, 116.432716,39.913970, 116.439220,39.919916
人民美术出版社, 北总布胡同32, 科教文化服务;传媒机构;出版社, 116.426316,39.911853, 116.432533,39.913237, 116.439037,39.919187
同心出版社, 朝阳门南小街6, 科教文化服务;传媒机构;出版社, 116.420529,39.919616, 116.426756,39.921008, 116.433219,39.927061
化学工业出版社, 青年湖南街13, 科教文化服务;传媒机构;出版社, 116.394526,39.952264, 116.400776,39.953670, 116.407150,39.960017
天天出版社, 东中街42, 科教文化服务;传媒机构;出版社, 116.430985,39.934744, 116.437196,39.936122, 116.443722,39.941987
红旗出版社, 沙滩北街2号院3, 科教文化服务;传媒机构;出版社, 116.397983,39.924658, 116.404229,39.926063, 116.410594,39.932397
北京市新闻出版局, 朝阳门内大街55号新闻出版大厦, 政府机构及社会团体;政府机关;省直辖市级政府及事业单位, 116.425279,39.924088, 116.431499,39.925474, 116.437990,39.931440
中国青年出版社, 东四十二条21, 科教文化服务;传媒机构;出版社, 116.416335,39.934131, 116.422569,39.935527, 116.429005,39.941653
世界知识出版社, 干面胡同51, 科教文化服务;传媒机构;出版社, 116.415305,39.915828, 116.421538,39.917224, 116.427972,39.923369
连环画出版社, 北总布胡同32, 科教文化服务;传媒机构;出版社, 116.426316,39.911859, 116.432533,39.913243, 116.439037,39.919193
人民音乐出版社, 朝阳门内大街55号新闻出版大厦, 科教文化服务;传媒机构;出版社, 116.425281,39.924085, 116.431501,39.925471, 116.437992,39.931437
世界图书出版公司, 朝阳门内大街137, 科教文化服务;传媒机构;出版社, 116.418692,39.924025, 116.424922,39.925419, 116.431372,39.931504
新闻出版大厦, 朝阳门内大街55, 商务住宅;楼宇;商务写字楼, 116.425283,39.924086, 116.431503,39.925472, 116.437994,39.931438
中国工人出版社, 鼓楼外大街45, 科教文化服务;传媒机构;出版社, 116.388638,39.952025, 116.394887,39.953430, 116.401265,39.959765
台海出版社, 景山东街20号, 科教文化服务;传媒机构;出版社, 116.393870,39.922816, 116.400116,39.924221, 116.406478,39.930564
中国科学出版集团, 东黄城根北街16, 科教文化服务;传媒机构;出版社, 116.401025,39.929131, 116.407271,39.930535, 116.413641,39.936853
人民文学出版社, 朝阳门内大街166, 科教文化服务;传媒机构;出版社|科教文化服务;传媒机构;杂志社, 116.419264,39.922660, 116.425493,39.924053, 116.431947,39.930128
中国环境科学出版社, 广渠门内大街16-2号环境新闻出版大楼5-6层, 科教文化服务;传媒机构;出版社, 116.426552,39.891802, 116.432766,39.893185, 116.439290,39.899137
文物出版社, 东直门内北小街2, 科教文化服务;传媒机构;出版社, 116.419711,39.947688, 116.425943,39.949082, 116.432407,39.955152
版纳春天, 和平东街交林夹道5号, 餐饮服务;中餐厅;云贵菜, 116.421187,39.956059, 116.427418,39.957451, 116.433899,39.963497
北京市版权局, 朝阳门内大街55号新闻出版大厦, 政府机构及社会团体;政府机关;省直辖市级政府及事业单位, 116.425288,39.924100, 116.431508,39.925486, 116.437999,39.931452
